"番剧名称","追番数","集数","上映时间"
"哆啦A梦 大雄与铁人兵团","6.7万追番","全1话","86年3月开播"
"哆啦A梦 大雄与风之使者","7万追番","全1话","03年3月开播"
"哆啦A梦 大雄与龙骑士","5.5万追番","全1话","87年3月开播"
"哆啦A梦 大雄和白金迷宫","5.8万追番","全1话","93年3月开播"
"哆啦A梦 大雄和长翅膀的勇士们","6.1万追番","全1话","01年3月开播"
"哆啦A梦 大雄的人鱼大海战","10.5万追番","全1话","10年3月开播"
"哆啦A梦 大雄的大魔境","5.9万追番","全1话","82年3月开播"
"哆啦A梦 大雄的天方夜谭","6.9万追番","全1话","91年3月开播"
"哆啦A梦 大雄的宇宙小战争","6.8万追番","全1话","85年3月开播"
"哆啦A梦 大雄的宇宙开拓史","6.5万追番","全1话","81年3月开播"
"哆啦A梦 大雄的平行西游记","11.3万追番","全1话","88年3月开播"
"哆啦A梦 大雄的恐龙","8.3万追番","全1话","80年3月开播"
"哆啦A梦 大雄的新魔界大冒险～7人之魔法使～","9.3万追番","全1话","07年3月开播"
"哆啦A梦 大雄的海底鬼岩城","8.2万追番","全1话","83年3月开播"
"哆啦A梦 大雄的秘密道具博物馆","10.1万追番","全1话","13年3月开播"
"哆啦A梦 大雄的魔界大冒险","5.6万追番","全1话","84年3月开播"
"哆啦A梦 新·大雄与铁人兵团～振翅吧天使们～","8.9万追番","全1话","11年3月开播"
"哆啦A梦 新大雄的大魔境~扁扁与5人之探险队","10.1万追番","全1话","14年3月开播"
"哆啦A梦 新大雄的宇宙开拓史","6.4万追番","全1话","09年3月开播"
"哆啦A梦 新大雄的恐龙","6.7万追番","全1话","06年3月开播"
"哆啦A梦 第一季","134万追番","全142话","05年4月开播"
"哆啦A梦 第二季","16.4万追番","全132话","05年4月开播"
"哆啦A梦 第五季","154.7万追番","全80话","25年3月开播"
"哆啦A梦 第四季","135.8万追番","全99话","22年8月开播"
"哆啦A梦：伴我同行","13.9万追剧","2015年5月28日上映","22年3月开播"
"哆啦A梦：大雄与天空的理想乡","9.7万追剧","2023年6月1日上映","23年11月开播"
"哈尔的移动城堡","35.8万追剧","敬请期待","24年9月开播"
"哥斯拉：决战之都","21.5万追剧","2018年5月18日上映","22年10月开播"
"哥斯拉：噬星者","21.4万追剧","2018年11月9日上映","22年12月开播"
"啄木鸟伍迪 第一季 中文配音","6420追番","全13话","25年6月开播"
"啄木鸟伍迪 第三季","1283追番","全14话","24年12月开播"
"啄木鸟伍迪 第三季 中文配音","5495追番","全14话","25年6月开播"
"啄木鸟伍迪 第二季","2160追番","全13话","24年12月开播"
"啄木鸟伍迪 第二季 中文配音","5461追番","全13话","25年6月开播"
"啄木鸟伍迪 第四季","1549追番","全13话","24年12月开播"
"啄木鸟伍迪 第四季 中文配音","5442追番","全13话","25年6月开播"
"喜剧","4.7万追番","全1话","02年2月开播"
"喜欢本大爷的竟然就你一个？","296.5万追番","全14话","19年10月开播"
"喷嚏大魔怪","2.3万追番","全52话","69年10月开播"
"嗨！道奇 儿歌系列 第一季 中文版","3万追番","全19话","25年6月开播"
"嗨！道奇 儿歌系列 第一季 英文版","3万追番","全19话","25年6月开播"
"嗨！道奇 儿歌系列 第二季 中文版","4.8万追番","全29话","25年12月开播"
"嗨！道奇 儿歌系列 第二季 英文版","349追番","全29话","25年12月开播"
"嗨！道奇 圣诞特辑","2.4万追番","全1话","25年1月开播"
"嗨！道奇 圣诞特辑 中文配音","2.4万追番","全1话","25年1月开播"
"嗨！道奇 第一季 中文配音","1.6万追番","全51话","23年8月开播"
"嗨！道奇 第五季（上） 中文配音","4万追番","全20话","25年8月开播"
"嗨！道奇 第五季（下）","5.3万追番","全20话","2月24日开播"
"嗨！道奇 第五季（下） 中文配音","5.3万追番","全20话","2月24日开播"
"嗨！道奇 第四季 中文配音","1.2万追番","全20话","23年10月开播"
"嗨！道奇 第四季（下）","5939追番","全20话","24年4月开播"
"嗨！道奇 第四季（下） 中文配音","1.7万追番","全20话","24年4月开播"
"噬神者","152万追番","全13话","15年7月开播"
"噬神者 SP","10.5万追番","全4话","15年7月开播"
"噬谎者 OVA","2.2万追番","全1话","12年10月开播"
"四叠半时光机布鲁斯","78.7万追番","全5话","22年10月开播"
"四叠半神话大系","84.8万追番","全12话","23年6月开播"
"四圣兽 ～圣兽降临篇～","2.3万追番","全6话","03年5月开播"
"四圣兽 光阴叙事诗天使谭","5万追番","全13话","07年4月开播"
"四季樱","9.5万追番","全12话","23年4月开播"
"四月是你的谎言","708.3万追番","全22话","14年10月开播"
"四月是你的谎言 OAD","57.3万追番","全1话","15年5月开播"
"四月是你的谎言 粤配版","5.5万追番","全22话","23年4月开播"
"四色战记 / RWBY 第一季","28.9万追番","全16话","21年10月开播"
"四色战记 / RWBY 第七季","21.8万追番","全13话","23年3月开播"
"四色战记 / RWBY 第三季","4.9万追番","全12话","22年2月开播"
"四色战记 / RWBY 第二季","6.4万追番","全12话","22年2月开播"
"四色战记 / RWBY 第八季","21.6万追番","全14话","23年6月开播"
"四色战记 / RWBY 第六季","20.3万追番","全13话","22年12月开播"
"四色战记 / RWBY 第四季","3.4万追番","全12话","22年3月开播"
"四色战记 冰雪帝国","23.8万追番","全12话","22年10月开播"
"囝仔小短篇","4.7万追番","全13话","14年7月开播"
"因为太怕痛就全点防御力了","689.1万追番","全12话","20年1月开播"
"因为太怕痛就全点防御力了 第二季","704.2万追番","全12话","23年1月开播"
"因为是反派大小姐所以养了魔王","117.5万追番","全12话","22年10月开播"
"团团喵","2.9万追番","全39话","18年1月开播"
"团团奇米莫","4.6万追番","全24话","22年7月开播"
"团团奇米莫（中配版）","5347追番","全24话","22年9月开播"
"国王排名","887.3万追番","全23话","21年10月开播"
"国王排名 勇气的宝箱","851.8万追番","全10话","23年4月开播"
"圣刃＋全开者 超级英雄战记","3.2万追番","全1话","24年5月开播"
"圣女魔力无所不能","151.7万追番","全12话","21年4月开播"
"圣女魔力无所不能 第二季","146.9万追番","全12话","23年11月开播"
"圣战士丹拜因","2.3万追番","全49话","83年2月开播"
"圣斗士星矢 THE LOST CANVAS 冥王神话","49.1万追番","全26话","09年6月开播"
"圣石小子","3.2万追番","全51话","01年10月开播"
"圣诞老人公司","1.2万追番","全1话","14年10月开播"
"圣诞老人公司 ～圣诞节的秘密～","1.1万追番","全1话","20年3月开播"
"在下坂本，有何贵干？","631.4万追番","全13话","16年4月开播"
"在下坂本，有何贵干？ 中配版","33.9万追番","全13话","22年1月开播"
"在世界尽头咏唱恋曲的少女YU-NO","52.6万追番","全26话","19年4月开播"
"在地下城寻求邂逅是否搞错了什么 第三季","262.4万追番","全12话","20年10月开播"
"在地下城寻求邂逅是否搞错了什么 第二季","223.1万追番","全13话","19年7月开播"
"在盛夏等待 特别篇","9.8万追番","全1话","14年8月开播"
"在魔王城说晚安","333.7万追番","全12话","20年10月开播"
"地。-关于地球的运动-","49.4万追番","全25话","24年10月开播"
"地下城里的人们","30.6万追番","全12话","24年7月开播"
"地下巧克力 我们的巧克力战争","6647追番","全1话","09年1月开播"
"地狱天使","5.6万追番","全1话","08年10月开播"
"地狱少女","247.8万追番","全26话","05年10月开播"
"地狱少女 二笼","46.3万追番","全26话","06年10月开播"
"地狱少女 宵伽","175万追番","全12话","17年7月开播"
"地狱幼稚园","9994追番","全12话","13年1月开播"
"地球先锋队（中配版）","1.7万追番","全51话","21年3月开播"
"地球防卫少年","14.1万追番","全24话","07年4月开播"
"地缚少年花子君","434.5万追番","全12话","20年1月开播"
"地缚少年花子君 第二季","448.1万追番","全24话","25年1月开播"
"坂本日常","157.7万追番","全22话","25年1月开播"
"城下町的蒲公英","90.7万追番","全12话","15年7月开播"
"城市猎人 SP","2.7万追番","全3话","87年4月开播"
"城市猎人 TV版","33.1万追番","全127话","87年4月开播"
"城市猎人 剧场版","6.5万追番","全5话","87年4月开播"
"基因攻防战","1.6万追番","全13话","01年4月开播"
"堀与宫村","880.5万追番","全13话","21年1月开播"
"堀与宫村 中配版","75.6万追番","全13话","21年7月开播"
"堀桑与宫村君","41.6万追番","全3话","12年10月开播"
"境界的彼方","465.5万追番","全12话","13年10月开播"
"境界线上的地平线","89.6万追番","全13话","11年10月开播"
"增血鬼果林","12.5万追番","全24话","05年11月开播"
"声之形","301.9万追剧","2017年9月8日上映","17年9月开播"
"声优广播的台前幕后","19.3万追番","全12话","24年4月开播"
"声优战队VOICESTORM7","2.4万追番","全11话","13年10月开播"
"声声相对论","1.8万追番","全12话","20年5月开播"
"处刑少女的生存之道","97.9万追番","全12话","22年4月开播"
"备长炭","29万追番","全12话","06年2月开播"
"复活！小猫咪","12.4万追番","全52话","15年10月开播"
"夏之岚","12.4万追番","全13话","09年4月开播"
"夏娃的时间 剧场版","6.6万追番","全1话","10年3月开播"
"夏日口袋","56.9万追番","全26话","25年4月开播"
"夏日幻魂","122万追番","全1话","22年3月开播"
"夏日重现","527.2万追番","全25话","22年5月开播"
"夏目友人帐 OVA","78.9万追番","全2话","13年12月开播"
"夏目友人帐 唤石者与怪异的访客","567.5万追番","全1话","21年5月开播"
"夏目友人帐 唤石者与怪异的访客（中配）","551.6万追番","全1话","23年7月开播"
"夏目友人帐 第七季","714.6万追番","全13话","24年11月开播"
"夏目友人帐 第三季","147.4万追番","全13话","11年7月开播"
"夏目友人帐 第二季","163.3万追番","全13话","09年1月开播"
"夏目友人帐 第五季","288.9万追番","全11话","16年10月开播"
"夏雪密会","14.9万追番","全11话","21年2月开播"
"外之国的少女","11.7万追番","全1话","23年7月开播"
"多田君不恋爱","135.5万追番","全13话","18年4月开播"
"多罗罗","472.4万追番","全24话","19年1月开播"
"夜之小双侠","8.6万追番","全12话","15年1月开播"
"夜晚的水母不会游泳","52.3万追番","全12话","24年4月开播"
"夜樱四重奏 月之泣","6.1万追番","全3话","13年10月开播"
"夜樱家的大作战","33.5万追番","全27话","24年6月开播"
"大~集合！小魔女DoReMi 青蛙石的秘密","1.8万追番","全1话","01年7月开播"
"大叔与棉花糖","21.3万追番","全13话","16年1月开播"
"大叔新人冒险者，被最强小队往死里锻炼后变无敌了","9.7万追番","全12话","25年8月开播"
"大图书馆的牧羊人","70.7万追番","全12话","14年10月开播"
"大家集合！Falcom学园","2.7万追番","全13话","14年1月开播"
"大家集合！Falcom学园 第二季","1.9万追番","全12话","15年1月开播"
"大怪兽RUSH","3.2万追番","全13话","13年9月开播"
"大怪兽之战 奥特银河传说 THE MOVIE","3.3万追番","全1话","24年10月开播"
"大正少女御伽话","76.2万追番","全12话","21年10月开播"
"大正野球娘","1.8万追番","全12话","09年7月开播"
"大神与七位伙伴","106.2万追番","全12话","10年7月开播"
"大运动会 重启","13.3万追番","全12话","21年4月开播"
"大都会","11万追番","全1话","01年5月开播"
"大雪海的卡纳","21.4万追番","全11话","23年1月开播"
"大雪海的卡纳 星之贤者","19.8万追番","全1话","23年12月开播"
"大魔法峠","2.4万追番","全8话","06年4月开播"
"天上天下 THE PAST CHAPTER","1.9万追番","全1话","05年3月开播"
"天上天下 终极格斗","1.8万追番","全2话","05年3月开播"
"天体的秩序","86.2万追番","全13话","14年10月开播"
"天体的秩序SP","9.5万追番","全1话","15年7月开播"
"天使之卵","15.8万追番","全1话","85年12月开播"
"天使心","12.6万追番","全50话","05年10月开播"
"天使怪盗","9.7万追番","全26话","03年4月开播"
"天使特警","5.7万追番","全24话","02年10月开播"
"天使特警2","4.8万追番","全24话","09年10月开播"
"天使的小生意气","3.1万追番","全50话","02年4月开播"
"天使的水果糖","3.3万追番","全1话","13年5月开播"
"天使降临到我身边","430.8万追番","全13话","19年1月开播"
"天使领域","4万追番","全26话","01年4月开播"
"天保异闻妖奇士","1.9万追番","全25话","06年10月开播"
"天元突破红莲螺岩","108.2万追番","全27话","07年4月开播"
"天国少女","10万追番","全39话","09年4月开播"
"天地创造设计部","119.7万追番","全13话","21年1月开播"
"天堂之吻","39.5万追番","全12话","05年10月开播"
"天堂餐馆","21.6万追番","全11话","09年4月开播"
"天才王子的赤字国家振兴术","258.8万追番","全12话","22年1月开播"
"天气之子","407万追剧","2019年11月1日上映","20年7月开播"
"天狼 Sirius the Jaeger","122.2万追番","全12话","18年7月开播"
"天真与闪电","137.2万追番","全12话","16年7月开播"
"天穗之咲稻姬","11.3万追番","全13话","24年7月开播"
"天空战记","5.7万追番","全38话","89年4月开播"
"天线宝宝：准备出发","5563追番","全10话","22年12月开播"
"天线宝宝：梦想再出发","30.9万追番","全26话","23年12月开播"
"天线宝宝：梦想再出发 中文配音","38.8万追番","全26话","23年12月开播"
"天线宝宝向前冲！","2441追番","全25话","24年4月开播"
"天线宝宝向前冲！（下）","1765追番","全26话","24年6月开播"
"天线宝宝无处不在 第一季","31.1万追番","全13话","22年10月开播"
"天线宝宝无处不在 第二季","30.4万追番","全13话","22年11月开播"
"天翔少女","2.6万追番","全26话","07年7月开播"
"天降之物Final 我永远的鸟笼","68.5万追番","全1话","14年8月开播"
"太空堡垒 第一季","6.6万追番","全36话","85年3月开播"
"太空堡垒 第三季","1.6万追番","全25话","85年3月开播"
"太空堡垒 第二季","1.4万追番","全24话","85年3月开播"
"太空家族","1110追番","全26话","20年1月开播"
"太空家族 中文配音","1784追番","全26话","20年1月开播"
"太阳之牙达格拉姆","1.6万追番","全75话","81年10月开播"
"太阳的使者 铁人28号","1.2万追番","全51话","80年10月开播"
"失忆症","90.1万追番","全12话","13年1月开播"
"失忆症 SP","8.3万追番","全1话","13年9月开播"
"失格纹的最强贤者～世界最强的贤者为了变得更强而转生了～","183.3万追番","全12话","22年1月开播"
"头文字D Extra Stage","5.1万追番","全1话","21年5月开播"
"头文字D Extra Stage 2","4.3万追番","全1话","21年5月开播"
"头文字D Fifth Stage","16.6万追番","全14话","12年11月开播"
"头文字D Final Stage","13.5万追番","全4话","14年5月开播"
"头文字D First Stage","72.9万追番","全26话","21年5月开播"
"头文字D Fourth Stage","11万追番","全24话","04年4月开播"
"头文字D Legend1 -觉醒-","11.4万追番","全1话","14年8月开播"
"头文字D Legend3 -梦现-","8.3万追番","全1话","16年2月开播"
"头文字D Third Stage","13.5万追番","全1话","01年1月开播"
"奇奇与蒂蒂：开心乐园 第一季","6485追番","全12话","24年8月开播"
"奇巧出租车","123万追番","全13话","21年11月开播"
"奇幻☆怪盗","48.5万追番","全12话","20年1月开播"
"奇幻世界舅舅","238.3万追番","全13话","22年8月开播"
"奇幻旅程","1.2万追番","全26话","04年10月开播"
"奇幻贵公子","44.1万追番","全25话","06年10月开播"
"奇异太郎少年的妖怪绘日记","112.5万追番","全12话","16年10月开播"
"奇异水域 第一季","967追番","全10话","23年4月开播"
"奇异水域 第一季 中文配音","892追番","全10话","23年4月开播"
"奇异水域 第二季","826追番","全10话","23年5月开播"
"奇异水域 第二季 中文配音","682追番","全10话","23年5月开播"
"奇蛋物语 / WONDER EGG PRIORITY","286.3万追番","全12话","21年1月开播"
"奇诺之旅","29万追番","全13话","03年4月开播"
"奇诺之旅 塔之国 -Free Lance-","6.6万追番","全1话","05年3月开播"
"奇诺之旅（2017）","89.5万追番","全12话","17年10月开播"
"奈克赛斯奥特曼","98.7万追番","全38话","21年3月开播"
"奔向地球","1.8万追番","全24话","07年4月开播"
"奥特怪兽拟人化计划 怪兽娘","5.8万追番","全12话","23年12月开播"
"奥特怪兽拟人化计划 怪兽娘 第二季","4.9万追番","全12话","23年9月开播"
"奥特格斗 维克特利","1.7万追番","全1话","23年5月开播"
"奥特格斗 维克特利（中配）","5502追番","全1话","23年5月开播"
"奥特英雄 新生代英雄传","72.2万追番","全26话","24年10月开播"
"奥特英雄 新生代英雄传（中配）","60.2万追番","全26话","24年10月开播"
"奥特英雄传 赛罗与捷德","3.2万追番","全23话","22年1月开播"
"奥特英雄传 赛罗与捷德（中配）","1.6万追番","全23话","22年1月开播"
"奥特英雄传泽塔 英雄之路","3.1万追番","全25话","22年6月开播"
"奥特英雄传泽塔 英雄之路（中配）","1万追番","全25话","22年6月开播"
"奥特银河 大怪兽之战 无尽的圣战（中配）","6.9万追番","全13话","25年8月开播"
"奥特银河传说 外传 赛罗奥特曼VS黑暗洛普斯赛罗：STAGE 1 宇宙大冲撞","1.6万追番","全1话","23年9月开播"
"奥特银河传说 外传 赛罗奥特曼VS黑暗洛普斯赛罗：STAGE 2 赛罗的决死之战","1.8万追番","全1话","23年9月开播"
"奥特银河格斗 命运的冲突","11.9万追番","全11话","22年8月开播"
"奥特银河格斗 命运的冲突（中配）","2.6万追番","全10话","22年8月开播"
"奥特银河格斗 巨大阴谋","14.3万追番","全10话","22年1月开播"
"奥特银河格斗 巨大阴谋（中配）","2.9万追番","全10话","22年1月开播"
"奥特银河格斗 新生代英雄","8.7万追番","全13话","22年1月开播"
"奥特银河格斗 新生代英雄（中配）","2.1万追番","全13话","22年1月开播"
"奥美迦奥特曼","222.1万追番","全28话","25年7月开播"
"奥美迦奥特曼（中配）","213.8万追番","全28话","25年7月开播"
"女仆咖啡厅","12.6万追番","全12话","10年10月开播"
"女孩的钓鱼慢活","84万追番","全12话","22年1月开播"
"女神异闻录3 电影版 第一章：春生","33.4万追番","全1话","13年11月开播"
"女神异闻录3 电影版 第三章：秋降","11.9万追番","全1话","15年4月开播"
"女神异闻录3 电影版 第二章：仲夏骑士之梦","12.5万追番","全1话","14年6月开播"
"女神异闻录3 电影版 第四章：重生之冬","16.2万追番","全1话","16年1月开播"
"女神异闻录4","57.6万追番","全26话","11年10月开播"
"女神异闻录4：黄金版","9.5万追番","全12话","21年3月开播"
"女神异闻录5 -THE DAY BREAKERS-","43.8万追番","全1话","16年9月开播"
"女神异闻录5 动画版","210.1万追番","全26话","18年4月开播"
"女神异闻录5 动画版 年末特别篇「前篇 / 后篇」","39.7万追番","全2话","2018年12月开播"
"女高中生的虚度日常","355万追番","全12话","19年7月开播"
"她和她的猫","161.6万追番","全4话","16年3月开播"
"好朋友","1.1万追番","全6话","15年4月开播"
"好比是最终迷宫前的少年到新手村生活一般的故事","260.8万追番","全12话","21年1月开播"
"如果她的旗帜被折断了","105.8万追番","全13话","14年4月开播"
"如果有○○就好了。","17.3万追番","全8话","17年10月开播"
"如果能写小说就好了","284.5万追番","全12话","17年10月开播"
"如果高中棒球社女经理读过杜拉克的《管理学》的话","2.7万追番","全10话","11年4月开播"
"如风似云","1.1万追番","全1话","90年3月开播"
"妖怪公寓的幽雅日常","94.5万追番","全26话","17年7月开播"
"妖怪手表","5.2万追番","全97话","21年10月开播"
"妖怪手表：永远的朋友","9187追剧","2018年12月14日上映","23年9月开播"
"妖精森林的小不点","199.5万追番","全13话","18年1月开播"
"妖魔","2.3万追番","全2话","89年4月开播"
"妙手小厨师","2.8万追番","全99话","87年10月开播"
"姆明山谷 第一季","2.2万追番","全26话","23年8月开播"
"姆明山谷 第一季 中文配音","6220追番","全26话","23年8月开播"
"姆明山谷 第三季","1.3万追番","全26话","23年12月开播"
"姐姐来了","60.3万追番","全13话","14年1月开播"
"嫁给非人类","89万追番","全12话","18年10月开播"
"孤独摇滚！","480.8万追番","全12话","22年10月开播"
"孤独摇滚（上）","6.5万追剧","敬请期待","25年11月开播"
"孤独摇滚（下）","2万追剧","敬请期待","2024年8月9日上映"
"学园偶像 阳光!!","128.9万追番","全13话","16年7月开播"
"学园偶像 阳光!! 第二季","53.3万追番","全13话","17年10月开播"
"学园天堂","18.6万追番","全13话","06年4月开播"
"学园奶爸","88.4万追番","全12话","18年1月开播"
"学园孤岛","189万追番","全12话","15年7月开播"
"学园帅哥","37.1万追番","全12话","16年10月开播"
"学战都市Asterisk","212万追番","全12话","15年10月开播"
"学战都市Asterisk 第二季","133.7万追番","全12话","16年4月开播"
"学校怪谈","6.5万追番","全20话","00年10月开播"
"学活！ 第二季","1.1万追番","全25话","13年4月开播"
"学生会的一己之见","115万追番","全12话","09年10月开播"
"学生会的一己之见 Lv.2","51.8万追番","全10话","12年10月开播"
"宅饮","63.1万追番","全12话","18年1月开播"
"宇宙兄弟#0","1.2万追番","全1话","21年2月开播"
"宇宙大师：启示录 2","1630追番","全5话","25年3月开播"
"宇宙大师：启示录 2 中文配音","2373追番","全5话","25年3月开播"
"宇宙大师：启示录(中配)","5281追番","全10话","24年11月开播"
"宇宙巡警露露子","56.2万追番","全13话","16年4月开播"
"宇宙战舰大和号","6.1万追番","全26话","74年10月开播"
"宇宙战舰大和号 2199","9.7万追番","全26话","13年4月开播"
"宇宙战舰提拉米斯","43.8万追番","全16话","18年4月开播"
"宇宙战舰提拉米斯II","13.7万追番","全17话","2018年10月开播"
"宇宙星路","1.2万追番","全26话","03年4月开播"
"宇宙的巨人希曼","2278追番","全26话","25年2月开播"
"宇宙的巨人希曼 中文配音","990追番","全26话","25年2月开播"
"宇宙航海王 ABYSS OF HYPERSPACE -亚空的深渊-：剧场版","4.3万追番","全1话","14年2月开播"
"宇宙骑士铁甲人","2.1万追番","全26话","75年7月开播"
"宇宙魔神大剑豪","2061追番","全26话","78年7月开播"
"宇崎学妹想要玩！","275.4万追番","全12话","20年7月开播"
"安倍桥魔法☆商店街","2.1万追番","全13话","02年4月开播"
"安迪的全球冒险（上）","587追番","全15话","25年7月开播"
"安迪的全球冒险（上） 中文配音","1115追番","全15话","25年7月开播"
"安迪的全球冒险（下）","358追番","全15话","25年7月开播"
"安迪的全球冒险（下） 中文配音","1000追番","全15话","25年7月开播"
"安迪的全球冒险之动物宝宝任务","9083追番","全15话","25年8月开播"
"安迪的全球冒险之动物宝宝任务 中文配音","9314追番","全15话","25年8月开播"
"安迪的恐龙冒险","2432追番","全20话","25年7月开播"
"安迪的恐龙冒险 中文配音","1.3万追番","全20话","25年7月开播"
"完全胜利大帝王","2105追番","全1话","01年12月开播"
"宝可梦 XY&Z","35.9万追番","全49话","15年10月开播"
"宝可梦 XY1&2","50.5万追番","全96话","13年10月开播"
"宝可梦 七夜的许愿星 基拉祈","6.9万追番","全1话","03年7月开播"
"宝可梦 光环的超魔神胡帕","11.1万追番","全1话","15年7月开播"
"宝可梦 地平线（中配）","232.3万追番","更新至第45话","25年4月开播"
"宝可梦 宝可梦巡护员与苍海的王子 玛纳霏","6.8万追番","全1话","06年7月开播"
"宝可梦 就决定是你了！","11.7万追番","全1话","17年7月开播"
"宝可梦 幻影的霸者 索罗亚克","6.5万追番","全1话","10年7月开播"
"宝可梦 我们的故事","9.8万追番","全1话","18年7月开播"
"宝可梦 旅途 第一季（中配）","153.5万追番","全48话","23年12月开播"
"宝可梦 时拉比 穿梭时空的相遇","6.9万追番","全1话","01年7月开播"
"宝可梦 比克提尼与白英雄 莱希拉姆","6.4万追番","全1话","11年7月开播"
"宝可梦 比克提尼与黑英雄 捷克罗姆","6.7万追番","全1话","11年7月开播"
"宝可梦 水都的守护神 拉帝亚斯与拉帝欧斯","8.1万追番","全1话","02年7月开播"
"宝可梦 波尔凯尼恩与机巧的玛机雅娜","13.5万追剧","2017年11月11日上映","17年11月开播"
"宝可梦 超世代","33.7万追番","全188话","02年11月开播"
"宝可梦 超级愿望","22.3万追番","全144话","10年9月开播"
"宝可梦 钻石&珍珠","30.1万追番","全185话","06年9月开播"
"宝可梦 阿尔宙斯 超克的时空","8.3万追番","全1话","09年7月开播"
"宝可梦：皮卡丘和可可的冒险","56.5万追剧","2021年9月10日上映","22年1月开播"
"宝可梦：超梦的逆袭 进化","45万追剧","2020年12月4日上映","21年7月开播"
"宝石之国","400.6万追番","全12话","17年10月开播"
"宝石商人理查德的谜鉴定","137.9万追番","全12话","20年1月开播"
"宝石宠物 Sunshine（第三季）","2.4万追番","全52话","11年4月开播"
"宝石宠物 Tinkle☆（第二季）","15.1万追番","全52话","10年4月开播"
"宝石幻想 光芒重现","61.3万追番","全13话","20年7月开播"
"宝贝老板: 宝宝归来 第一季","1.1万追番","全26话","24年12月开播"
"宝贝老板: 宝宝归来 第一季 中文配音","1.1万追番","全26话","25年8月开播"
"宝贝老板: 宝宝归来 第二季","5291追番","全23话","24年12月开播"
"宝贝老板: 宝宝归来 第二季 中文配音","1万追番","全23话","25年8月开播"
"实况主的逃脱游戏","197.5万追番","全11话","19年7月开播"
"宠物医生薇达 中文配音","681追番","全52话","25年9月开播"
"宠猫学园","9671追番","全10话","13年11月开播"
"室内足球少年!!!!!","16.7万追番","全12话","22年1月开播"
"室内鞋库库","1.1万追番","全13话","15年1月开播"
"宫河家的空腹","6.6万追番","全10话","13年4月开播"
"家庭教师HITMAN REBORN!","252.5万追番","全203话","06年10月开播"
"家有穆珂","10.2万追番","全25话","15年10月开播"
"宿命回响：命运节拍","349.7万追番","全12话","21年11月开播"
"寄居蟹贝泥","1119追番","全30话","24年5月开播"
"对某飞行员的追忆","8.2万追番","全1话","11年10月开播"
"对魔导学园35试验小队","110.8万追番","全12话","15年10月开播"
"寻找失去的未来","59.6万追番","全12话","14年10月开播"
"寿司忍者","1533追番","全3话","14年7月开播"
"将国之天鹰星","42.1万追番","全24话","17年7月开播"
"小凉宫春日的忧郁","29.7万追番","全25话","09年2月开播"
"小加速世界","4.6万追番","全8话","12年7月开播"
"小城日常","67.9万追番","全13话","25年7月开播"
"小女神花铃","19.8万追番","全26话","07年4月开播"
"小妇人","1.1万追番","全26话","81年4月开播"
"小妇人（中配）","1.2万追番","全26话","81年4月开播"
"小小外星人","1.4万追番","全50话","84年3月开播"
"小小雪精灵","1.5万追番","全24话","01年10月开播"
"小市民系列","33.1万追番","全10话","24年8月开播"
"小彼索","6362追番","全12话","20年12月开播"
"小怪兽成长日记 蹒跚学步","6346追番","全26话","22年6月开播"
"小怪兽成长日记 蹒跚学步 第二季","6009追番","全26话","22年1月开播"
"小木乃伊到我家","282.1万追番","全12话","18年1月开播"
"小松鼠斯克莱特奇遇记","4.5万追番","全6话","25年8月开播"
"小林家的龙女仆 第二季","879.7万追番","全13话","21年12月开播"
"小桃小栗Love Love物语","138.6万追番","全13话","16年7月开播"
"小森同学拒绝不了！","56万追番","全12话","15年10月开播"
"小猪佩奇 第一季","29.3万追番","全52话","20年12月开播"
"小猪佩奇 第一季 英文版","45.7万追番","全52话","20年12月开播"
"小猪佩奇 第七季","12.2万追番","全52话","20年12月开播"
"小猪佩奇 第七季 英文版","10.4万追番","全52话","20年12月开播"
"小猪佩奇 第三季","9.6万追番","全26话","20年12月开播"
"小猪佩奇 第三季 英文版","13.4万追番","全26话","20年12月开播"
"小猪佩奇 第九季 中文配音","45.3万追番","全39话","22年9月开播"
"小猪佩奇 第九季 续集 中文配音","60万追番","全24话","23年7月开播"
"小猪佩奇 第九季 续集 英文版","50.9万追番","全24话","23年10月开播"
"小猪佩奇 第九季 英文版","50.7万追番","全39话","23年10月开播"
"小猪佩奇 第二季","12万追番","全52话","20年12月开播"
"小猪佩奇 第二季 英文版","10.9万追番","全52话","20年12月开播"
"小猪佩奇 第五季","9.2万追番","全26话","20年12月开播"
"小猪佩奇 第五季 英文版","6.6万追番","全52话","20年12月开播"
"小猪佩奇 第八季 中文配音","15.7万追番","全45话","21年8月开播"
"小猪佩奇 第八季 英文版","54.2万追番","全45话","24年4月开播"
"小猪佩奇 第六季","10.6万追番","全26话","20年12月开播"
"小猪佩奇 第十一季 中文配音","90.6万追番","全26话","25年8月开播"
"小猪佩奇 第十一季 英文版","63.6万追番","全26话","25年8月开播"
"小猪佩奇 第十季 中文配音","75.6万追番","全26话","24年8月开播"
"小猪佩奇 第十季 英文版","57.5万追番","全26话","24年8月开播"
"小猪佩奇 第四季","8.9万追番","全26话","20年12月开播"
"小猪佩奇 迷你剧 第一季 中文配音","1.7万追番","全10话","24年2月开播"
"小猪佩奇之发现新兴趣","230追番","全23话","2月9日开播"
"小猪佩奇之发现新兴趣 中文配音","173追番","全23话","2月9日开播"
"小猪佩奇之好习惯养成","282追番","全25话","2月6日开播"
